ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x
1466-4380,ETHICS-CSR-MAN,Feminist Review,SAGE,scopus,WoS,2,2,,NA,33,34,39,48,FEMINIST REVIEW,FEMINIST REV,0141-7789,WOMENS STUDIES - SSCI,1311,2.816,1.03,9.23%,11/44,2.614,Q2,2.763,0.815,17/60,Q2,72.5,0.001,0.295,1.433,76.14,Q1,Q1,27,100%,13.6,9.4,27,NA,NA
2321-029X,ETHICS-CSR-MAN,IIM Kozhikode Society & Management Review,SAGE,,,2,2,,NA,NA,NA,NA,NA,IIM Kozhikode Society & Management Review,IIM KOZHIKODE SOC MA,2277-9752,MANAGEMENT - ESCI,164,NA,0.24,8.7%,NA,NA,NA,NA,NA,321/393,Q4,18.45,0,0.03,0.165,NA,NA,Q3,31,100%,4.6,9.9,31,NA,NA
1758-8545,ETHICS-CSR-MAN,International Journal of Conflict Management,Emerald,scopus,WoS,2,,,NA,34,33,37,39,INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT,INT J CONFL MANAGE,1044-4068,COMMUNICATION - SSCI,1332,2.551,0.89,0.81%,48/95,2.616,Q3,2.011,0.171,71/218,Q2,67.66,0.001,0.156,0.432,50,Q3,Q4,35,97.14%,10.6,11,34,NA,NA
1756-6274,ETHICS-CSR-MAN,International Journal of Gender and Entrepreneurship,Emerald,scopus,,2,2,,NA,NA,44,38,32,International Journal of Gender and Entrepreneurship,INT J GEND ENTREP,1756-6266,BUSINESS - ESCI,883,NA,0.72,5.71%,NA,NA,NA,NA,NA,126/296,Q2,57.6,0.001,0.111,0.578,NA,NA,Q1,34,97.06%,7.2,8.3,33,NA,NA
1758-7468,ETHICS-CSR-MAN,Journal of Intellectual Capital,Emerald,scopus,WoS,2,2,2,NA,NA,10,25,9,Journal of Intellectual Capital,J INTELLECT CAP,1469-1930,BUSINESS - SSCI,4609,6.371,1.42,5.77%,52/154,7.433,Q2,4.65,1.397,48/296,Q1,83.95,0.002,0.387,0.722,66.56,Q2,Q3,68,97.06%,7.1,9,66,NA,NA
1839-3527,ETHICS-CSR-MAN,Journal of Management and Organization,Cambridge University Press,scopus,WoS,2,2,,NA,35,50,44,44,Journal of Management & Organization,J MANAGE ORGAN,1833-3672,MANAGEMENT - SSCI,1983,3.64,0.88,6.74%,144/228,3.777,Q3,3.414,1.402,149/393,Q2,62.21,0.002,0.377,0.736,37.06,Q3,Q3,82,98.78%,5.4,11.2,81,NA,NA
1758-6070,ETHICS-CSR-MAN,Management Decision,Emerald,scopus,WoS,2,2,2,1,22,26,26,23,MANAGEMENT DECISION,MANAGE DECIS,0025-1747,BUSINESS - SSCI,9486,5.589,1.12,4.48%,67/154,5.534,Q3,5.259,1.209,74/296,Q1,75.17,0.006,1.243,0.791,56.82,Q2,Q3,139,97.84%,6.6,10.1,136,NA,NA
1863-6691,ETHICS-CSR-MAN,Review of Managerial Science,Springer Nature,scopus,WoS,2,2,,NA,31,37,35,29,Review of Managerial Science,REV MANAG SCI,1863-6683,MANAGEMENT - SSCI,2034,5.435,1.23,30%,93/228,5.672,Q2,4.319,2.33,95/393,Q1,75.95,0.002,0.377,0.786,59.43,Q2,Q3,112,82.14%,3,10.1,92,NA,NA
1873-3387,ETHICS-CSR-MAN,Scandinavian Journal of Management,Elsevier,scopus,WoS,2,2,2,2,25,31,28,26,Scandinavian Journal of Management,SCAND J MANAG,0956-5221,MANAGEMENT - SSCI,1955,3.383,0.67,22.86%,153/228,3.413,Q3,3.319,0.609,192/393,Q2,51.27,0.001,0.207,0.838,33.11,Q3,Q3,23,95.65%,10.2,11.1,22,NA,NA
1573-2762,ETHICS-CSR-MAN,Sex Roles,Springer Nature,scopus,WoS,2,2,,NA,20,23,18,21,SEX ROLES,SEX ROLES,0360-0025,"PSYCHOLOGY, DEVELOPMENTAL - SSCI",12443,3.812,1.46,10.94%,25/78,4.497,Q2,3.487,0.694,10/92,Q1,89.67,0.008,1.689,1.403,68.59,Q2,Q2,49,97.96%,12.9,11,48,NA,NA
1545-6943,ETHICS-CSR-MAN,Signs,University of Chicago Press,scopus,WoS,2,2,,NA,27,15,27,36,SIGNS,SIGNS,0097-9740,WOMENS STUDIES - SSCI,4530,2.614,1.28,1.57%,12/44,2.817,Q2,2.566,0.159,7/60,Q1,89.17,0.004,0.763,1.899,73.86,Q2,Q1,44,100%,17.5,10.2,44,NA,NA
1935-5181,ETHICS-CSR-MAN,American Journal of Business,Emerald,,,1,,,NA,NA,NA,NA,NA,American Journal of Business,AM J BUS,1935-519X,BUSINESS - ESCI,209,NA,0.16,0%,NA,NA,NA,NA,NA,254/296,Q4,14.36,0,0.032,0.292,NA,NA,Q2,13,92.31%,7.6,10.8,12,NA,NA
2398-7316,ETHICS-CSR-MAN,Annals of Work Exposures and Health,Oxford University Press,scopus,WoS,1,,,NA,NA,NA,NA,NA,Annals of Work Exposures and Health,ANN WORK EXPOS HEAL,2398-7308,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",1060,2.779,0.67,26.45%,128/210,2.661,Q3,2.558,1.025,191/392,Q2,51.4,0.002,0.389,0.525,39.29,Q3,Q3,79,94.94%,3,8.2,75,NA,NA
0973-0621,ETHICS-CSR-MAN,Asian Journal of Management Cases,SAGE,scopus,,1,,,NA,NA,60,61,61,Asian Journal of Management Cases,ASIAN J MANAG CASES,0972-8201,MANAGEMENT - ESCI,26,NA,0.04,0%,NA,NA,NA,NA,NA,378/393,Q4,3.94,0,0.007,0.035,NA,NA,Q4,26,100%,NA,5.9,26,NA,NA
2153-7828,ETHICS-CSR-MAN,Business & Professional Ethics Journal,Philosophy Documentation Center,scopus,,1,1,1,1,NA,NA,NA,NA,BUSINESS & PROFESSIONAL ETHICS JOURNAL,BUS PROF ETHICS J,0277-2027,ETHICS - ESCI,147,NA,0.12,0%,NA,NA,NA,NA,NA,71/75,Q4,6,0,0.014,0.114,NA,NA,Q4,19,100%,9.7,13.7,19,NA,NA
2057-0201,ETHICS-CSR-MAN,Business and Human Rights Journal,Cambridge University Press,scopus,,1,,,NA,NA,NA,NA,NA,Business and Human Rights Journal,BUS HUM RIGHTS J,2057-0198,BUSINESS - ESCI,284,NA,1.37,20.88%,NA,NA,NA,NA,NA,54/296,Q1,81.93,0.001,0.16,0.827,NA,NA,Q1,46,97.83%,3.3,5.3,45,NA,NA
2331-1975,ETHICS-CSR-MAN,Cogent Business and Management,Cogent OA,scopus,,1,1,,NA,NA,NA,NA,NA,Cogent Business & Management,COGENT BUS MANAG,2331-1975,BUSINESS - ESCI,1762,NA,0.42,99.84%,NA,NA,NA,NA,NA,202/296,Q3,31.93,0.002,0.369,0.264,NA,NA,Q2,231,92.64%,2.7,9,214,NA,NA
0973-0664,ETHICS-CSR-MAN,Global Business Review,SAGE,scopus,,1,1,,NA,NA,29,48,47,Global Business Review,GLOB BUS REV,0972-1509,BUSINESS - ESCI,2267,NA,0.42,1.64%,NA,NA,NA,NA,NA,202/296,Q3,31.93,0.002,0.332,0.24,NA,NA,Q3,206,98.54%,3.9,10.5,203,NA,NA
1740-0597,ETHICS-CSR-MAN,International Journal of Business Environment,Inderscience Publishers,scopus,,1,,,NA,NA,NA,NA,NA,International Journal of Business Environment,INT J BUS ENVIRON,1740-0589,BUSINESS - ESCI,157,NA,0.29,0%,NA,NA,NA,NA,NA,221/296,Q3,25.51,0,0.022,0.137,NA,NA,Q3,20,100%,5,9.3,20,NA,NA
2040-4476,ETHICS-CSR-MAN,International Journal of Knowledge-Based Development,Inderscience Publishers,scopus,,1,,,NA,NA,49,46,38,International Journal of Knowledge-Based Development,INT J KNOWL-BASED DE,2040-4468,URBAN STUDIES - ESCI,187,NA,0.24,0%,NA,NA,NA,NA,NA,59/76,Q4,23.03,0,0.031,0.156,NA,NA,Q3,7,100%,5.7,9.9,7,NA,NA
1753-8386,ETHICS-CSR-MAN,International Journal of Managing Projects in Business,Emerald,scopus,WoS,1,1,1,NA,NA,NA,NA,NA,International Journal of Managing Projects in Business,INT J MANAG PROJ BUS,1753-8378,BUSINESS - SSCI,1591,2.951,0.61,3.35%,118/154,3.175,Q4,2.563,0.554,153/296,Q3,48.48,0.001,0.273,0.489,23.7,Q4,Q4,65,90.77%,5.1,10.6,59,NA,NA
2345-3745,ETHICS-CSR-MAN,Iranian Journal of Management Studies,University of Tehran,,,1,1,,NA,NA,NA,NA,NA,Iranian Journal of Management Studies,IRAN J MANAG STUD,2008-7055,MANAGEMENT - ESCI,216,NA,0.21,0%,NA,NA,NA,NA,NA,331/393,Q4,15.9,0,0.039,0.116,NA,NA,Q3,40,100%,4.5,7.9,40,NA,NA
2451-2834,ETHICS-CSR-MAN,Irish Journal of Management,Sciendo,,,1,1,1,1,NA,NA,NA,NA,Irish Journal of Management,IR J MANAG,1649-248X,MANAGEMENT - ESCI,110,NA,0.04,90%,NA,NA,NA,NA,NA,378/393,Q4,3.94,0,0.025,0.271,NA,NA,Q2,6,100%,5.6,8.6,6,NA,NA
2043-6246,ETHICS-CSR-MAN,Journal of Family Business Management,Emerald,scopus,,1,,,NA,NA,NA,NA,NA,Journal of Family Business Management,J FAM BUS MANAG,2043-6238,MANAGEMENT - ESCI,637,NA,0.64,5.15%,NA,NA,NA,NA,NA,201/393,Q3,48.98,0,0.097,0.373,NA,NA,Q1,62,96.77%,3.5,9.8,60,NA,NA
0973-0737,ETHICS-CSR-MAN,Journal of Human Values,SAGE,scopus,,1,,,NA,NA,54,58,57,Journal of Human Values,J HUM VALUES,0971-6858,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",196,NA,0.26,0%,NA,NA,NA,NA,NA,157/264,Q3,40.72,0,0.039,0.197,NA,NA,Q2,9,100%,7.1,17.8,9,NA,NA
1755-4209,ETHICS-CSR-MAN,Journal of Indian Business Research,Emerald,scopus,,1,,,NA,NA,NA,NA,NA,Journal of Indian Business Research,J INDIAN BUS RES,1755-4195,BUSINESS - ESCI,455,NA,0.35,0%,NA,NA,NA,NA,NA,213/296,Q3,28.21,0,0.057,0.264,NA,NA,Q2,32,100%,5.1,10.1,32,NA,NA
1572-963X,ETHICS-CSR-MAN,Journal of Management and Governance,Springer Nature,scopus,,1,1,1,1,NA,28,32,30,Journal of Management & Governance,J MANAG GOV,1385-3457,MANAGEMENT - ESCI,1698,NA,0.58,31.25%,NA,NA,NA,NA,NA,220/393,Q3,44.15,0.001,0.224,0.48,NA,NA,Q1,56,91.07%,7.7,10.2,51,NA,NA
1942-258X,ETHICS-CSR-MAN,"Journal of Management, Spirituality and Religion",Taylor & Francis,scopus,,1,1,1,NA,NA,43,43,45,Journal of Management Spirituality & Religion,J MANAG SPIRITUAL RE,1476-6086,RELIGION - ESCI,611,NA,4.5,9.46%,NA,NA,NA,NA,NA,2/332,Q1,99.55,0.001,0.12,0.566,NA,NA,Q1,28,100%,6.6,10.9,28,NA,NA
1477-657X,ETHICS-CSR-MAN,Journal of Revenue and Pricing Management,Springer Nature,scopus,,1,2,2,NA,NA,46,36,50,Journal of Revenue and Pricing Management,J REVENUE PRICING MA,1476-6930,"BUSINESS, FINANCE - ESCI",787,NA,0.46,6.59%,NA,NA,NA,NA,NA,146/221,Q3,34.16,0,0.093,0.215,NA,NA,Q3,93,98.92%,8.1,10.3,92,NA,NA
1846-3363,ETHICS-CSR-MAN,Management,University of Split - Faculty of Economics,scopus,,1,,,NA,NA,47,53,52,Management-Journal of Contemporary Management Issues,MANAG-J CONTEMP MANA,1331-0194,MANAGEMENT - ESCI,241,NA,0.17,100%,NA,NA,NA,NA,NA,346/393,Q4,12.09,0,0.046,0.151,NA,NA,Q3,34,79.41%,5.5,8.5,27,NA,NA
2178-938X,ETHICS-CSR-MAN,RAE Revista de Administracao de Empresas,"Fundacao Getulio Vargas, Escola de Admin- istracao de Empresas de Sao Paulo",scopus,WoS,1,,,NA,NA,48,54,53,RAE-Revista de Administracao de Empresas,RAE-REV ADMIN EMPRES,2178-938X,BUSINESS - SSCI,855,1.1,0.18,88.46%,145/154,1.344,Q4,1.033,0.523,251/296,Q4,15.37,0,0.096,0.246,6.17,Q4,Q4,44,95.45%,8.5,9.4,42,NA,NA
2531-0488,ETHICS-CSR-MAN,RAUSP Management Journal,Emerald,scopus,,1,,,NA,NA,NA,NA,NA,RAUSP Management Journal,RAUSP MANAG J,2531-0488,BUSINESS - ESCI,236,NA,0.38,94.32%,NA,NA,NA,NA,NA,207/296,Q3,30.24,0,0.071,0.333,NA,NA,Q2,26,96.15%,2.6,9.4,25,NA,NA
1758-857X,ETHICS-CSR-MAN,Social Responsibility Journal,Emerald,scopus,,1,,,NA,NA,41,45,41,Social Responsibility Journal,SOC RESPONSIB J,1747-1117,MANAGEMENT - ESCI,2301,NA,0.68,1.73%,NA,NA,NA,NA,NA,187/393,Q2,52.54,0.001,0.312,0.433,NA,NA,Q1,96,97.92%,4.8,8.7,94,NA,NA
2398-6298,ETHICS-CSR-MAN,South Asian Journal of Business Studies,Emerald,scopus,,1,,,NA,NA,NA,NA,NA,South Asian Journal of Business Studies,S ASIAN J BUS STUD,2398-628X,BUSINESS - ESCI,307,NA,0.5,0%,NA,NA,NA,NA,NA,183/296,Q3,38.34,0,0.066,0.325,NA,NA,Q2,39,100%,2.6,10.3,39,NA,NA
1540-6261,FINANCE,Journal of Finance,Wiley-Blackwell,scopus,WoS,4*,4*,4*,4,1,1,1,1,JOURNAL OF FINANCE,J FINANC,0022-1082,"BUSINESS, FINANCE - SSCI",56397,7.87,2.74,6.33%,6/111,12.609,Q1,7.5,1.881,5/221,Q1,97.96,0.041,8.786,12.201,95.05,Q1,Q1,67,100%,19.1,9.8,67,NA,NA
1465-7368,FINANCE,Review of Financial Studies,Oxford University Press,scopus,WoS,4*,4*,4*,4,3,3,2,3,REVIEW OF FINANCIAL STUDIES,REV FINANC STUD,0893-9454,"BUSINESS, FINANCE - SSCI",28304,8.414,2.67,8.2%,2/111,10.792,Q1,7.859,2.415,6/221,Q1,97.51,0.051,11.011,9.211,98.65,Q1,Q1,188,99.47%,11.2,10.1,187,NA,NA
1872-6313,FINANCE,Journal of Corporate Finance,Elsevier,scopus,WoS,4,4,4,3,10,14,15,9,JOURNAL OF CORPORATE FINANCE,J CORP FINANC,0929-1199,"BUSINESS, FINANCE - SSCI",12375,5.107,1.81,6.08%,16/111,7.157,Q1,4.288,1.207,14/221,Q1,93.89,0.013,2.883,1.894,86.04,Q1,Q1,304,99.01%,6.5,11.5,301,NA,NA
1756-6916,FINANCE,Journal of Financial and Quantitative Analysis,Cambridge University Press,scopus,WoS,4,4,4,4,6,5,5,5,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,J FINANC QUANT ANAL,0022-1090,"BUSINESS, FINANCE - SSCI",10295,4.337,1.42,2.54%,25/111,6.064,Q1,4.209,1.372,30/221,Q1,86.65,0.013,2.887,3.495,77.93,Q1,Q1,113,100%,11.7,11.9,113,NA,NA
1096-0473,FINANCE,Journal of Financial Intermediation,Elsevier,scopus,WoS,4,4,4,3,5,7,10,4,JOURNAL OF FINANCIAL INTERMEDIATION,J FINANC INTERMED,1042-9573,"BUSINESS, FINANCE - SSCI",3471,5.979,2.13,1.19%,11/111,6.797,Q1,5.813,0.917,10/221,Q1,95.7,0.005,1.056,3.891,90.54,Q1,Q1,36,100%,10.2,10.3,36,NA,NA
1538-4616,FINANCE,"Journal of Money, Credit and Banking",Wiley-Blackwell,scopus,WoS,4,4,4,4,16,15,11,18,JOURNAL OF MONEY CREDIT AND BANKING,J MONEY CREDIT BANK,0022-2879,"BUSINESS, FINANCE - SSCI",6640,1.963,0.66,8.59%,77/111,2.829,Q3,1.884,0.268,106/221,Q2,52.26,0.006,1.34,1.905,31.08,Q3,Q1,127,100%,14.3,11.1,127,NA,NA
1573-692X,FINANCE,Review of Finance,Oxford University Press,scopus,WoS,4,4,4,3,7,6,6,6,Review of Finance,REV FINANC,1572-3097,"BUSINESS, FINANCE - SSCI",3706,5.059,1.49,7.87%,17/111,5.071,Q1,4.971,1.22,25/221,Q1,88.91,0.008,1.824,3.336,85.14,Q1,Q1,59,100%,7.1,11.1,59,NA,NA
1941-1375,FINANCE,Annual Review of Financial Economics,Annual Reviews Inc.,scopus,WoS,3,3,3,NA,12,17,4,11,Annual Review of Financial Economics,ANNU REV FINANC ECON,1941-1367,"BUSINESS, FINANCE - SSCI",1258,2.741,1.07,0%,56/111,4.865,Q2,2.741,0.333,46/221,Q1,79.41,0.003,0.72,4.768,50,Q3,Q1,18,100%,7.6,7.9,18,NA,NA
1467-8683,FINANCE,Corporate Governance: An International Review,Wiley-Blackwell,scopus,WoS,3,3,3,3,4,NA,NA,NA,CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,CORP GOV-OXFORD,0964-8410,BUSINESS - SSCI,5630,5.66,1,13.68%,65/154,7.875,Q2,4.962,0.881,87/296,Q2,70.78,0.002,0.441,1.591,58.12,Q2,Q2,42,92.86%,11.7,11.3,39,NA,NA
1468-036X,FINANCE,European Financial Management,Wiley-Blackwell,scopus,WoS,3,3,3,3,22,21,29,23,European Financial Management,EUR FINANC MANAG,1354-7798,"BUSINESS, FINANCE - SSCI",2144,2.295,0.77,13.46%,69/111,2.632,Q3,1.964,0.455,82/221,Q2,63.12,0.002,0.378,0.886,38.29,Q3,Q2,44,100%,10.9,10.2,44,NA,NA
1466-4364,FINANCE,European Journal of Finance,Taylor & Francis,scopus,WoS,3,3,3,3,35,45,50,48,European Journal of Finance,EUR J FINANC,1351-847X,"BUSINESS, FINANCE - SSCI",1798,1.903,0.72,10.86%,78/111,1.914,Q4,1.723,0.58,93/221,Q2,58.14,0.002,0.434,0.468,30.18,Q3,Q4,112,99.11%,5.5,11.1,111,NA,NA
1432-1122,FINANCE,Finance and Stochastics,Springer Nature,scopus,WoS,3,3,3,3,15,8,9,17,FINANCE AND STOCHASTICS,FINANC STOCH,0949-2984,"BUSINESS, FINANCE - SSCI",1554,2.095,0.83,41.18%,73/111,2.551,Q3,1.952,0.727,77/221,Q1,65.38,0.002,0.519,1.632,34.68,Q3,Q1,22,100%,12.6,10.9,22,NA,NA
1938-3312,FINANCE,Financial Analysts Journal,Association for Investment Management and Research,scopus,WoS,3,3,3,3,20,16,16,43,FINANCIAL ANALYSTS JOURNAL,FINANC ANAL J,0015-198X,"BUSINESS, FINANCE - SSCI",3427,2.345,0.95,24.05%,64/111,3.273,Q2,1.897,0.381,62/221,Q2,72.17,0.002,0.373,1.43,42.79,Q3,Q2,21,95.24%,19.5,11.3,20,NA,NA
1755-053X,FINANCE,Financial Management,Wiley-Blackwell,scopus,WoS,3,3,3,3,19,30,22,26,FINANCIAL MANAGEMENT,FINANC MANAGE,0046-3892,"BUSINESS, FINANCE - SSCI",3796,3.391,1.05,3.88%,40/111,3.632,Q2,3.337,0.568,51/221,Q1,77.15,0.002,0.517,1.333,64.41,Q2,Q2,37,100%,12.9,12.4,37,NA,NA
1540-6288,FINANCE,Financial Review,Wiley-Blackwell,scopus,,3,3,3,3,NA,50,38,45,FINANCIAL REVIEW,FINANC REV,0732-8516,"BUSINESS, FINANCE - ESCI",1659,NA,0.48,4.21%,NA,NA,NA,NA,NA,143/221,Q3,35.52,0.001,0.24,0.898,NA,NA,Q1,31,29.03%,11.9,11.8,9,NA,NA
1873-5959,FINANCE,Insurance: Mathematics and Economics,Elsevier,scopus,WoS,3,3,3,2,21,20,25,24,INSURANCE MATHEMATICS & ECONOMICS,INSUR MATH ECON,0167-6687,ECONOMICS - SSCI,5457,2.168,0.8,10%,185/381,2.526,Q2,1.622,0.575,186/572,Q2,67.57,0.004,0.797,0.716,51.57,Q2,Q3,134,98.51%,9.3,10.9,132,NA,NA
1815-7556,FINANCE,International Journal of Central Banking,Association of the International Journal of Central Banking,scopus,WoS,3,2,2,NA,24,37,19,33,International Journal of Central Banking,INT J CENT BANK,1815-4654,"BUSINESS, FINANCE - SSCI",1320,1.429,0.54,0%,94/111,2.07,Q3,1.405,0.225,125/221,Q3,43.67,0.003,0.578,1.331,15.77,Q4,Q2,40,100%,7.7,8.5,40,NA,NA
1099-1158,FINANCE,International Journal of Finance and Economics,Wiley-Blackwell,scopus,WoS,3,3,3,2,37,52,48,49,INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,INT J FINANC ECON,1076-9307,"BUSINESS, FINANCE - SSCI",2136,1.634,0.56,11.21%,84/111,1.655,Q4,1.533,1.212,119/221,Q3,46.38,0.002,0.44,0.27,24.77,Q4,Q4,208,100%,1.9,10.8,208,NA,NA
1873-8079,FINANCE,International Review of Financial Analysis,Elsevier,scopus,WoS,3,3,3,3,28,33,39,21,International Review of Financial Analysis,INT REV FINANC ANAL,1057-5219,"BUSINESS, FINANCE - SSCI",7163,8.235,2.54,5.01%,4/111,6.622,Q1,7.351,1.718,8/221,Q1,96.61,0.007,1.553,1.193,96.85,Q1,Q2,294,97.62%,3.9,9.3,287,NA,NA
1872-6372,FINANCE,Journal of Banking and Finance,Elsevier,scopus,WoS,3,3,3,3,8,9,18,7,JOURNAL OF BANKING & FINANCE,J BANK FINANC,0378-4266,"BUSINESS, FINANCE - SSCI",24406,3.539,1.26,5.02%,37/111,4.724,Q2,3.355,0.737,34/221,Q1,84.84,0.013,2.769,1.377,67.12,Q2,Q2,243,100%,10,10.6,243,NA,NA
2405-8505,FINANCE,Journal of Commodity Markets,Elsevier,scopus,WoS,3,,,NA,NA,NA,NA,NA,Journal of Commodity Markets,J COMMOD MARK,2405-8513,"BUSINESS, FINANCE - SSCI",432,3.317,1.18,3.13%,41/111,3.806,Q2,3.244,1.696,38/221,Q1,83.03,0.001,0.19,0.904,63.51,Q2,Q2,23,100%,3.5,11.2,23,NA,NA
1879-1727,FINANCE,Journal of Empirical Finance,Elsevier,scopus,WoS,3,3,3,3,27,31,27,30,Journal of Empirical Finance,J EMPIR FINANC,0927-5398,"BUSINESS, FINANCE - SSCI",4024,3.025,1.02,4.04%,47/111,3.195,Q3,2.992,0.474,55/221,Q1,75.34,0.004,0.794,1.066,58.11,Q2,Q2,75,100%,10.4,12.4,75,NA,NA
1479-8417,FINANCE,Journal of Financial Econometrics,Oxford University Press,scopus,WoS,3,3,3,1,17,19,13,25,Journal of Financial Econometrics,J FINANC ECONOMET,1479-8409,"BUSINESS, FINANCE - SSCI",1715,3.976,1.44,6.67%,33/111,4.922,Q1,3.659,0.776,27/221,Q1,88.01,0.002,0.396,1.903,70.72,Q2,Q1,49,100%,11.2,13.4,49,NA,NA
1878-576X,FINANCE,Journal of Financial Markets,Elsevier,scopus,WoS,3,3,3,3,13,10,8,13,JOURNAL OF FINANCIAL MARKETS,J FINANC MARK,1386-4181,"BUSINESS, FINANCE - SSCI",2519,3.095,0.99,0%,45/111,3.825,Q2,3.079,0.795,59/221,Q2,73.53,0.002,0.472,1.502,59.91,Q2,Q2,39,100%,12.2,11.2,39,NA,NA
1475-6803,FINANCE,Journal of Financial Research,Wiley-Blackwell,scopus,WoS,3,3,3,3,NA,59,43,58,JOURNAL OF FINANCIAL RESEARCH,J FINANC RES,0270-2592,"BUSINESS, FINANCE - SSCI",1778,2.811,0.43,8.33%,53/111,4,Q2,2.66,0.226,154/221,Q3,30.54,0.001,0.18,0.833,52.7,Q2,Q3,31,100%,11.5,12.7,31,NA,NA
1573-0735,FINANCE,Journal of Financial Services Research,Springer Nature,scopus,WoS,3,3,3,3,23,28,26,27,JOURNAL OF FINANCIAL SERVICES RESEARCH,J FINANC SERV RES,0920-8550,"BUSINESS, FINANCE - SSCI",1549,1.491,0.54,15.19%,89/111,2.181,Q3,1.291,0.25,125/221,Q3,43.67,0.001,0.156,0.603,20.27,Q4,Q3,24,100%,12,11.4,24,NA,NA
1878-0962,FINANCE,Journal of Financial Stability,Elsevier,scopus,WoS,3,3,3,1,9,12,20,8,Journal of Financial Stability,J FINANC STABIL,1572-3089,"BUSINESS, FINANCE - SSCI",3377,3.554,1.37,7.34%,36/111,4.867,Q2,3.087,1.682,32/221,Q1,85.75,0.005,1.051,1.519,68.02,Q2,Q1,85,100%,5.8,8.7,85,NA,NA
1096-9934,FINANCE,Journal of Futures Markets,Wiley-Blackwell,scopus,WoS,3,3,3,3,33,39,36,31,JOURNAL OF FUTURES MARKETS,J FUTURES MARKETS,0270-7314,"BUSINESS, FINANCE - SSCI",2507,2.35,0.77,7.14%,63/111,2.318,Q3,1.694,0.44,82/221,Q2,63.12,0.002,0.366,0.496,43.69,Q3,Q3,100,99%,10.3,10.9,99,NA,NA
1873-0612,FINANCE,"Journal of International Financial Markets, Institutions and Money",Elsevier,scopus,WoS,3,3,3,3,NA,26,28,16,Journal of International Financial Markets Institutions & Money,J INT FINANC MARK I,1042-4431,"BUSINESS, FINANCE - SSCI",4111,4.217,1.62,7.89%,27/111,4.755,Q2,3.704,0.928,19/221,Q1,91.63,0.003,0.729,0.921,76.13,Q1,Q2,152,99.34%,6.2,9.3,151,NA,NA
1873-0639,FINANCE,Journal of International Money and Finance,Elsevier,scopus,WoS,3,3,3,3,14,13,17,12,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,J INT MONEY FINANC,0261-5606,"BUSINESS, FINANCE - SSCI",6865,2.762,1.07,5.26%,55/111,3.724,Q2,2.553,0.634,46/221,Q1,79.41,0.006,1.375,1.185,50.9,Q2,Q2,164,100%,8.5,9.8,164,NA,NA
2168-8656,FINANCE,Journal of Portfolio Management,Portfolio Management Research,scopus,WoS,3,2,2,2,39,43,31,61,JOURNAL OF PORTFOLIO MANAGEMENT,J PORTFOLIO MANAGE,0095-4918,"BUSINESS, FINANCE - SSCI",2620,1.53,0.46,0%,87/111,1.608,Q4,1.107,0.429,146/221,Q3,34.16,0.002,0.366,0.498,22.07,Q4,Q3,112,100%,14.8,9,112,NA,NA
1573-045X,FINANCE,Journal of Real Estate Finance and Economics,Springer Nature,scopus,WoS,3,3,3,2,30,27,23,32,JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,J REAL ESTATE FINANC,0895-5638,"BUSINESS, FINANCE - SSCI",2712,1.48,0.53,14.41%,90/111,1.979,Q3,1.176,0.568,131/221,Q3,40.95,0.002,0.334,0.579,19.37,Q4,Q3,81,100%,12.3,11.8,81,NA,NA
1539-6975,FINANCE,Journal of Risk and Insurance,Wiley-Blackwell,scopus,WoS,3,3,3,2,18,11,21,20,JOURNAL OF RISK AND INSURANCE,J RISK INSUR,0022-4367,"BUSINESS, FINANCE - SSCI",2536,1.452,0.64,13.33%,93/111,2.319,Q3,1.269,0.704,110/221,Q2,50.45,0.002,0.409,0.955,16.67,Q4,Q2,27,100%,13,9.4,27,NA,NA
1467-9965,FINANCE,Mathematical Finance,Wiley-Blackwell,scopus,WoS,3,3,3,3,11,4,12,10,MATHEMATICAL FINANCE,MATH FINANC,0960-1627,"BUSINESS, FINANCE - SSCI",2673,2.894,0.94,17.91%,49/111,2.81,Q3,2.681,0.45,66/221,Q1,70.36,0.003,0.665,1.629,56.31,Q2,Q1,40,100%,15.8,14.2,40,NA,NA
